"Employee code","Username","Name","Job title","Pay type","Rate","Currency","Approved hours","Approved time","Pending hours","Worked days","Onsite hours","Remote hours","Gross amount"
"OM-101","panel_member_1","علی رضایی 1","طراح محصول","HOURLY","850000","IRR","53.25","53h 15m","0","3","53.25","0","45262500"
"OM-102","panel_member_2","مریم کریمی 1","توسعه‌دهنده","HOURLY","850000","IRR","53.25","53h 15m","0","4","0","53.25","45262500"
"OM-104","panel_member_4","نرگس حسینی 1","توسعه‌دهنده","HOURLY","850000","IRR","53.25","53h 15m","0","4","0","53.25","45262500"
"OM-105","panel_member_5","امیر موسوی 1","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-107","panel_member_7","علی رضایی 2","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-108","panel_member_8","مریم کریمی 2","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-110","panel_member_10","نرگس حسینی 2","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-111","panel_member_11","امیر موسوی 2","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-113","panel_member_13","علی رضایی 3","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-114","panel_member_14","مریم کریمی 3","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-116","panel_member_16","نرگس حسینی 3","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-117","panel_member_17","امیر موسوی 3","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-119","panel_member_19","علی رضایی 4","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-120","panel_member_20","مریم کریمی 4","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-122","panel_member_22","نرگس حسینی 4","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-123","panel_member_23","امیر موسوی 4","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"OM-125","panel_member_25","علی رضایی 5","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","3","52.5","0","44625000"
"OM-126","panel_member_26","مریم کریمی 5","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","3","0","52.5","44625000"
"OM-128","panel_member_28","نرگس حسینی 5","توسعه‌دهنده","HOURLY","850000","IRR","52.5","52h 30m","0","4","0","52.5","44625000"
"OM-129","panel_member_29","امیر موسوی 5","طراح محصول","HOURLY","850000","IRR","52.5","52h 30m","0","4","52.5","0","44625000"
"","dev_mtpr67ng","Sara","","HOURLY","850000","IRR","14","14h 00m","0","3","8","6","11900000"
"","dev_mtpr8umh","Sara","","HOURLY","850000","IRR","14","14h 00m","0","3","8","6","11900000"
"001","owner","Owner","Team lead","HOURLY","0","IRR","0","0h 00m","0","0","0","0","0"
"OM-100","panel_member_0","سارا احمدی 1","توسعه‌دهنده","HOURLY","850000","IRR","0","0h 00m","53.25","3","0","0","0"
"OM-103","panel_member_3","رضا محمدی 1","طراح محصول","HOURLY","850000","IRR","0","0h 00m","53.25","4","0","0","0"
"OM-106","panel_member_6","سارا احمدی 2","توسعه‌دهنده","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
"OM-109","panel_member_9","رضا محمدی 2","طراح محصول","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
"OM-112","panel_member_12","سارا احمدی 3","توسعه‌دهنده","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
"OM-115","panel_member_15","رضا محمدی 3","طراح محصول","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
"OM-118","panel_member_18","سارا احمدی 4","توسعه‌دهنده","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
"OM-121","panel_member_21","رضا محمدی 4","طراح محصول","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
"OM-124","panel_member_24","سارا احمدی 5","توسعه‌دهنده","HOURLY","850000","IRR","0","0h 00m","52.5","3","0","0","0"
"OM-127","panel_member_27","رضا محمدی 5","طراح محصول","HOURLY","850000","IRR","0","0h 00m","52.5","4","0","0","0"
